RANK,MARCA,PRESENTACION,DISTRIBUCION DE TIENDAS,FRENTES,Vol YTD,CCC,PeakDay Units,Facings Minimos PD,ROS,AVAIL3M,AVAIL PLAZA OXXO,Volume Mix,Industry Packtype,% Availab,Mix ROS,ATW,AJUSTE FRENTES MINIMOS
1,COCA-COLA,BOTELLA .5L,0%,4,"3,123",158,  4.06 ,1,1.65,97.5%,100.0%,13%,2%,98%,100%,55%,4.0
2,COCA-COLA,BOTELLA .6L,0%,1.5,"2,973",156,  13.90 ,3,1.59,96.3%,97.0%,13%,9%,96%,96%,54%,4.5
3,COCA-COLA,BOTELLA 1.5L,0%,1,"2,399",162,  27.40 ,3,1.23,100.0%,100.0%,10%,4%,100%,75%,47%,3.0
4,COCA-COLA,BOTELLA 1L,0%,1.5,"1,632",144,  8.26 ,2,0.94,88.9%,92.0%,7%,9%,89%,57%,39%,3.0
5,COCA-COLA,BOTELLA 2.5L,0%,1,"1,016",159,  15.75 ,2,0.53,98.1%,100.0%,4%,30%,98%,32%,35%,2.0
6,COCA-COLA LIGHT,BOTELLA 2L,0%,2,"1,193",148,  1.66 ,1,0.67,91.4%,100.0%,5%,2%,91%,40%,32%,2.0
7,COCA-COLA,BOTELLA RET .355L,0%,2,"1,191",143,  1.71 ,1,0.69,88.3%,100.0%,5%,2%,88%,42%,32%,2.0
8,COCA-COLA,LATA 12 OZ,0%,1.5,850,160,  4.94 ,1,0.44,98.8%,100.0%,4%,14%,99%,26%,31%,1.5
9,FANTA,BOTELLA .6L,0%,2,987,144,  1.41 ,1,0.57,88.9%,79.0%,4%,2%,89%,34%,30%,2.0
10,SPRITE,BOTELLA .6L,0%,1.5,834,140,  4.34 ,1,0.50,86.4%,89.0%,4%,9%,86%,29%,29%,1.5
11,PEPSI,BOTELLA .6L,0%,1,,,,1,,,,,,,,,2.0
11,MANZANITA SOL,BOTELLA .6L,0%,1,,,,1,,,,,,,,,2.0
11,COCA-COLA LIGHT,BOTELLA .6L,0%,1,432,155,  6.87 ,1,0.23,95.7%,23.0%,2%,30%,96%,13%,28%,2.0
12,COCA-COLA ZERO,BOTELLA .6L,0%,1,733,161,  8.42 ,1,0.38,99.4%,100.0%,3%,4%,99%,22%,28%,2.0
13,PEPSI BLACK,BOTELLA .6L,0%,1,659,157,  10.34 ,1,0.35,96.9%,99.0%,3%,10%,97%,20%,28%,2.0
14,SPRITE ZERO,BOTELLA .6L,0%,1,446,149,  7.38 ,1,0.25,92.0%,100.0%,2%,30%,92%,14%,28%,2.0
15,FANTA ZERO,BOTELLA .6L,0%,1,746,155,  8.90 ,1,0.40,95.7%,100.0%,3%,4%,96%,24%,28%,2.0
16,JOYA MANZANA,BOTELLA .6L,0%,1,727,146,  22.93 ,2,0.41,90.1%,0.0%,3%,0%,90%,24%,26%,2.0
17,JOYA PIÃ‘A,BOTELLA .6L,0%,1,623,152,  7.58 ,1,0.34,93.8%,100.0%,3%,4%,94%,20%,26%,2.0
18,JOYA PONCHE,BOTELLA .6L,0%,1.5,663,133,  3.63 ,1,0.42,82.1%,82.0%,3%,9%,82%,25%,26%,1.5
19,JOYA TORONJA,BOTELLA .6L,0%,1,241,153,  3.89 ,1,0.13,94.4%,100.0%,1%,30%,94%,7%,26%,2.0
20,COCA-COLA LIGHT,BOTELLA 1.5L,0%,1,522,157,  4.09 ,1,0.28,96.9%,100.0%,2%,1%,97%,16%,25%,2.0
24,COCA-COLA ZERO,BOTELLA 1.5L,0%,1,142,120,  2.92 ,1,0.10,74.1%,100.0%,1%,30%,74%,5%,21%,2.0